,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,LABEL
1602,23.527496337890625,0.166887491941452,22.085071563720703,23.305177688598636,25.01013946533203,2.925067901611328,211.6029510498047,307.1413269042969,160.4527130126953,344.6400451660156,0.225437194108963,0.7173704504966736,0.0724036023020744,0.2011429667472839,0.3476333320140838,0.2752297222614288,4.4499101638793945,2.686623334884644,3.803447961807251,2.415651559829712,0.1068905293941497,0.9937676787376404,25.35711669921875,0.6725978851318359,13.59376049041748,0.8659433722496033,15.16055393218994,0.9384982585906982,5.292383193969727,2.5192739963531494,0.0376986823976039,1.6124449968338013,1.5636857748031616,0.8698346614837646,3.1162142753601074,1.4477688074111938,7.627161979675293,2.0192837715148926,30.09322166442871,0.4233886003494262,506.0113220214844,0.3331241905689239,1244.630859375,0.2035205513238906,-88.87732696533203,-1.0028640031814575,1538.306396484375,0.1895927637815475,944.1226196289062,0.3921334743499756,-97.8388900756836,-0.8265405893325806,2528.10498046875,0.1305026113986969,824.5225219726562,0.4889306724071502,-100.12747955322266,-0.787727952003479,-20.99561309814453,-0.401992917060852,28.247541427612305,0.2860670387744903,0.0224903672933578,1.499234318733215,-0.0261926483362913,-0.6072467565536499,0.1437689065933227,0.7543188333511353,35.098506927490234,0.3326909840106964,15.517459869384766,0.7285450100898743,18.73750877380371,0.8127866387367249,4.094971179962158,3.682121992111206,-10.100699424743652,18.2613525390625,-0.0142009016126394,-0.0061610490083694,0.05209806188941,4.581901550292969,2.8660335540771484,0.1974857151508331,0.1390312314033508,0.1403086334466934,0.1612582802772522,-39.18804550170898,False
1603,24.59333038330078,0.2089372426271438,20.043540954589844,26.311813354492188,28.718338012695312,8.674797058105469,281.51153564453125,356.8272399902344,138.2982940673828,108.3341827392578,0.3729014992713928,1.247481346130371,0.0374481976032257,0.1379439085721969,0.6569780111312866,0.6195298433303833,10.044500350952148,7.647619724273682,8.268477439880371,5.726053237915039,0.3127151429653168,1.3982584476470947,19.187482833862305,0.7669066190719604,13.62877368927002,1.003165364265442,8.93593692779541,1.2298685312271118,13.079367637634276,0.8492462635040283,0.0502766482532024,1.8758643865585327,1.488327980041504,0.9987146854400636,2.3223624229431152,2.7623326778411865,9.964940071105955,3.2918410301208496,28.127439498901367,0.7169995307922363,568.1321411132812,0.3284449875354767,1265.0567626953125,0.1281850486993789,-136.8491973876953,-0.6228264570236206,1609.807373046875,0.1368481516838073,964.8572387695312,0.2598767876625061,-140.31463623046875,-0.5652341246604919,2649.256103515625,0.1023216247558593,890.1725463867188,0.5574400424957275,-143.04986572265625,-0.5283466577529907,-20.691089630126957,-0.4713524281978607,30.51097297668457,0.3007569015026092,0.000377177260816,155.23892211914062,-0.0198469404131174,-0.8752365112304688,0.6397040486335754,0.7913693785667419,33.04953384399414,0.4430746734142303,13.861966133117676,1.1795834302902222,11.625062942504885,1.2705063819885254,14.598553657531738,1.011491298675537,-14.216167449951172,23.27376937866211,-0.0373373478651046,-0.0063871382735669,0.1373243778944015,3.056235074996948,2.214022159576416,0.1483333259820938,0.1224404573440551,0.2678947448730469,0.3057962357997894,-29.22059631347656,False
1604,20.72090530395508,0.3154593408107757,13.498936653137209,22.046157836914062,27.616878509521484,14.117941856384276,161.84634399414062,308.0559387207031,82.2611312866211,97.96222686767578,0.4520714879035949,1.188327074050903,0.0723346918821334,0.1201357841491699,0.8078316450119019,0.7354969382286072,12.857725143432615,8.419723510742188,15.164924621582031,9.379420280456545,0.427353173494339,1.3566242456436155,29.59115219116211,0.3360908627510071,16.921470642089844,0.4925593137741089,14.963438987731934,0.5234719514846802,11.61687469482422,0.8835163116455078,0.0491176322102546,2.30898666381836,1.760159611701965,0.9156875610351562,-1.0180931091308594,-8.055657386779785,3.7589030265808105,9.711673736572266,24.078048706054688,1.2456260919570925,512.267822265625,0.3253517150878906,1325.5819091796875,0.159223735332489,-72.5504150390625,-1.0786603689193726,1563.874755859375,0.1527553349733352,1017.703125,0.2620938420295715,-82.86558532714844,-0.8612236976623535,2642.021240234375,0.1003099530935287,935.2537231445312,0.3315526843070984,-87.17607879638672,-0.7850428223609924,-23.967437744140625,-0.2712031900882721,34.424400329589844,0.2222471535205841,-0.021100927144289,-1.951331734657288,-0.020299008116126,-0.5922709703445435,0.540451169013977,1.180538535118103,32.77154541015625,0.2591414153575897,16.850439071655273,0.5720644593238831,15.85761833190918,0.4722862541675567,11.152091979980469,0.9962114691734314,-22.116729736328125,31.405426025390625,-0.0588646829128265,-0.0150075871497392,0.1844568848609924,2.4691357612609863,3.2085564136505127,0.2083333283662796,0.2223922908306121,0.0827777758240699,0.0454368330538272,-25.153392791748047,False
1605,23.16326141357422,0.204782485961914,17.85307502746582,25.00235748291016,26.9221248626709,9.069049835205078,267.4900817871094,311.8433837890625,106.45782470703124,70.48017883300781,0.2788236141204834,1.042454957962036,0.0423619747161865,0.164912462234497,0.4704076647758484,0.4280456900596618,5.896377086639404,4.341969013214111,4.124503135681152,3.1949620246887207,0.2020261585712433,1.3355650901794434,20.76120948791504,0.6907472610473633,14.19785499572754,0.8045174479484558,11.184831619262695,0.8876821398735046,12.571033477783203,0.9191476106643676,0.0367155894637107,1.6795156002044678,1.265113115310669,0.8879361152648926,2.4936225414276123,2.460526466369629,9.994072914123535,2.2329063415527344,29.29464530944824,0.6195014715194702,537.250732421875,0.3559753894805908,1304.9132080078125,0.1738104075193405,-129.65834045410156,-0.6552579998970032,1549.4886474609375,0.1586262881755828,969.0953979492188,0.341493159532547,-133.1103515625,-0.5944963693618774,2629.870849609375,0.1081027910113334,875.3419189453125,0.4710660576820373,-136.34788513183594,-0.5510218143463135,-21.27538299560547,-0.3682771921157837,32.35934829711914,0.28766068816185,-0.0153810000047087,-3.2449891567230225,-0.0181319750845432,-0.856635332107544,0.3391094803810119,0.8640775680541992,32.06315612792969,0.4332413971424103,15.808915138244627,0.7853551506996155,14.275067329406738,0.8399250507354736,11.85137176513672,1.2819573879241943,-14.508393287658691,23.726415634155277,-0.0364868715405464,-0.0063300272449851,0.1154657155275344,2.6981451511383057,2.551020622253418,0.1446666568517685,0.1555149108171463,0.2112499922513961,0.2762669622898102,-32.6902961730957,False
1606,17.27141761779785,0.3122447729110718,12.929636001586914,14.153175354003906,22.5476188659668,9.617982864379885,254.5440216064453,492.0368041992188,96.88851165771484,87.9653549194336,0.3795446753501892,1.4314405918121338,0.0693517476320266,0.0966711044311523,0.6498149037361145,0.580463171005249,12.433095932006836,10.745158195495604,14.755584716796877,12.37566375732422,0.3569523394107818,1.601215958595276,25.629364013671875,0.3837537467479706,15.029634475708008,0.6042364835739136,18.18681907653809,0.5412183403968811,14.339192390441896,0.7258396744728088,0.0617411844432354,1.3620469570159912,1.7382372617721558,0.6975818872451782,-4.166659832000732,-1.5180275440216064,-5.16080379486084,-7.247107982635498,10.846193313598633,3.3567168712615967,526.4912109375,0.3499148190021515,1330.048095703125,0.1885204911231994,-70.60624694824219,-1.0402591228485107,1624.92626953125,0.1146811991930008,995.8932495117188,0.357119619846344,-80.6087417602539,-0.8340534567832947,2645.777587890625,0.0959696173667907,989.6177368164062,0.3029305636882782,-82.10468292236328,-0.8108991384506226,-22.39672088623047,-0.3178206086158752,30.90521049499512,0.2747645378112793,-0.0394129082560539,-0.9955466985702516,-0.0176730882376432,-0.5808773040771484,0.4555521607398987,1.4418206214904783,27.3918514251709,0.3105629384517669,14.671514511108398,0.6901741623878479,19.868099212646484,0.5386825203895569,15.08067512512207,0.7179024815559387,-20.873504638671875,29.76382064819336,-0.0562730729579925,-0.0140738626942038,0.1418653130531311,2.44565224647522,5.248619079589844,0.12578946352005,0.113754853606224,0.0499999970197677,0.0325960107147693,-27.110151290893555,False
1607,23.092533111572266,0.1949589550495147,20.81040382385254,24.02054977416992,25.60795021057129,4.79754638671875,284.7334289550781,294.3165283203125,164.62684631347656,232.6819000244141,0.2691546380519867,0.8114578723907471,0.06291513890028,0.2287387251853943,0.4505451023578644,0.3876299560070038,6.051460266113281,3.762075424194336,5.633323192596436,3.4463064670562744,0.2197312116622924,1.183239459991455,28.87723159790039,0.57413649559021,15.803685188293455,0.7169501781463623,13.78724193572998,0.9037845730781556,6.585264682769775,1.6935542821884155,0.0734864324331283,1.997625946998596,1.6384832859039309,0.9194509387016296,2.8508787155151367,1.8772952556610107,7.309786796569824,2.251405715942383,36.43692779541016,0.4271970391273498,539.4463500976562,0.3555632531642914,1357.285888671875,0.163174882531166,-102.29313659667967,-0.8607668876647949,1539.2293701171875,0.1805755794048309,1124.234375,0.2957218885421753,-110.75684356689452,-0.7186810374259949,2671.01416015625,0.1148101985454559,968.6216430664062,0.3957630693912506,-115.57266998291016,-0.6498129963874817,-25.55623817443848,-0.3616633713245392,37.37319946289063,0.2708448767662048,-0.0062207886949181,-5.6397013664245605,-0.0236478578299283,-0.6072603464126587,0.3422469794750213,0.7920705080032349,39.39340591430664,0.3206601440906524,19.801074981689453,0.5398721098899841,18.227935791015625,0.7107626795768738,5.646571636199951,2.290485382080078,-12.000511169433594,21.425586700439453,-0.0148336393758654,-0.0065624620765447,0.0741494819521904,3.7544891834259033,2.467320442199707,0.2104635834693908,0.1781967878341674,0.1990839689970016,0.3099259436130523,-33.06317901611328,False
1608,24.141681671142575,0.2857495844364166,21.409374237060547,24.066091537475582,27.082399368286133,5.673025131225586,124.2794189453125,85.48171997070312,252.95285034179688,317.19317626953125,0.2292827367782592,1.0411731004714966,0.0371920205652713,0.1013197004795074,0.3930597901344299,0.3558677732944488,5.497105121612549,3.900176286697388,5.249259471893311,4.256377696990967,0.166930541396141,1.3276649713516235,22.295434951782227,0.7901411652565002,15.780914306640623,0.5289589166641235,12.15890407562256,1.2050799131393433,8.217794418334961,1.302592158317566,0.0439183190464973,2.189546585083008,1.7602461576461792,0.9684468507766724,2.582242965698242,2.31189489364624,8.099574089050293,4.047273635864258,30.455604553222656,0.8906286358833313,477.03411865234375,0.3186517357826233,1336.2037353515625,0.1924697160720825,-122.7073211669922,-0.7144129872322083,1480.1390380859375,0.140888899564743,1071.7967529296875,0.3128437399864197,-129.23167419433594,-0.6154906153678894,2566.693359375,0.1114461570978164,933.28173828125,0.369730681180954,-131.51597595214844,-0.5758810043334961,-22.76984977722168,-0.5105534791946411,34.2581787109375,0.4037936329841614,-0.0014401718508452,-21.98792266845703,-0.0220684427767992,-0.5877137184143066,0.3348594605922699,0.7099672555923462,36.92853164672852,0.4406393468379974,18.22348976135254,0.5728592276573181,17.46670150756836,1.0823805332183838,7.994647026062012,1.766860008239746,-12.530275344848633,21.68372917175293,-0.0186313781887292,-0.0067542148754,0.0390636324882507,2.649930238723755,2.528090000152588,0.1611111015081405,0.105981595814228,0.2229411602020263,0.2579731941223144,-34.16206359863281,False
1609,24.004165649414062,0.1751184910535812,21.179841995239254,23.342626571655277,27.881750106811523,6.701908111572266,132.69961547851562,141.30442810058594,77.68460083007812,47.95347595214844,0.2698707580566406,0.8262163400650024,0.0407270602881908,0.2419842034578323,0.4305890500545501,0.3898620009422302,5.135551929473877,3.5570712089538574,3.799613237380981,2.941583633422852,0.1540005952119827,1.2330952882766724,24.185791015625,0.7776919603347778,14.272278785705566,0.7428259253501892,12.504348754882812,1.0129519701004028,5.0491204261779785,2.0435311794281006,0.0398507714271545,1.5892473459243774,1.020256519317627,0.981715977191925,4.224881172180176,1.1536809206008911,11.675206184387209,1.8073011636734009,36.28098678588867,0.3733306229114532,508.64892578125,0.2909044921398163,1358.850830078125,0.1738248616456985,-111.32682800292967,-0.8032460808753967,1528.5736083984375,0.1463836729526519,1177.311279296875,0.3187465369701385,-119.07038116455078,-0.6753067970275879,2612.299072265625,0.0902817100286483,949.505615234375,0.4077577888965606,-122.60130310058594,-0.625923752784729,-25.43427276611328,-0.3776869177818298,36.389869689941406,0.2848517596721649,0.0060816891491413,5.586310386657715,-0.0263199601322412,-0.5525722503662109,0.2694083452224731,0.7665808200836182,40.12516403198242,0.2813979685306549,17.92171859741211,0.6532492637634277,18.84329605102539,0.7076688408851624,4.81303596496582,2.754635572433472,-8.506906509399414,16.51446533203125,-0.0078349513933062,-0.0049946005456149,0.042254090309143,3.276131153106689,2.044025182723999,0.2323077023029327,0.2035890966653823,0.21928571164608,0.3075586557388305,-33.835697174072266,False
1610,37.7504768371582,0.1738938093185424,35.690032958984375,37.89013671875,41.72397994995117,6.033946990966797,116.99097442626952,118.24956512451172,464.5338439941406,778.0742797851562,0.2212041020393371,0.9669906497001648,0.046501912176609,0.1460030674934387,0.3721022307872772,0.3256003260612488,4.653942584991455,2.584092855453491,3.292655229568481,1.566872477531433,0.1105925068259239,1.7404117584228516,18.1134033203125,0.8611128330230713,3.931291341781616,2.6004185676574707,4.012215614318848,2.6626038551330566,-5.052601337432861,-2.386794090270996,0.0328066013753414,1.6414988040924072,1.1543742418289185,1.0824837684631348,8.680813789367676,0.6459599137306213,9.246870040893556,1.1991736888885498,24.125213623046875,0.449442595243454,618.2559204101562,0.308330088853836,1288.16650390625,0.1638670861721038,-129.80088806152344,-0.6747539043426514,1675.037841796875,0.1830395311117172,895.3184204101562,0.3810247480869293,-123.87039947509766,-0.6705642342567444,2695.46826171875,0.1161979958415031,866.1520385742188,0.4824510216712951,-125.23070526123048,-0.6429650783538818,-19.039899826049805,-0.4698532521724701,26.585872650146484,0.3652254939079284,0.0920316278934478,0.4346936643123626,-0.0324575044214725,-0.4703581631183624,0.2069025486707687,1.2321659326553345,30.48269462585449,0.3503338396549225,2.436520576477051,5.0365729331970215,0.8579795360565186,15.317066192626951,-10.945890426635742,-1.3245849609375,-5.637593746185303,12.467795372009276,0.011907435953617,-0.0090615395456552,0.0341803953051567,3.266596555709839,2.542372941970825,0.1633333414793014,0.0876863077282905,0.190769225358963,0.2323446273803711,-37.13569259643555,True
1611,37.2290153503418,0.1357503682374954,33.326602935791016,36.74318313598633,40.04888916015625,6.722286224365234,58.81926345825195,18.566665649414062,33.733245849609375,2.60611629486084,0.1928904205560684,0.9099475145339966,0.0337617099285125,0.1171534061431884,0.3325451016426086,0.298783391714096,3.675548076629639,1.6586257219314575,3.08601975440979,1.1705245971679688,0.0743271112442016,1.0989166498184204,23.40402030944824,0.4917176961898803,8.645304679870605,1.066837191581726,8.330349922180176,1.166332721710205,-4.460438251495361,-2.1286327838897705,0.0159802120178937,1.1421881914138794,0.8069623708724976,1.1506695747375488,10.128674507141112,0.4383787512779236,9.616552352905272,0.8576120138168335,23.67060661315918,0.3403020799160003,600.6588745117188,0.2535088360309601,1298.1578369140625,0.1704225391149521,-114.8870849609375,-0.789193868637085,1703.9462890625,0.135646715760231,902.7452392578124,0.3141447305679321,-109.77216339111328,-0.7513660788536072,2681.328125,0.094846062362194,788.53955078125,0.2514179944992065,-110.65193176269533,-0.7381346821784973,-21.090850830078125,-0.34367436170578,26.86984062194824,0.2892635464668274,0.0843699276447296,0.3918527662754059,-0.0349930599331855,-0.2705689072608948,0.1236658096313476,0.6114881038665771,31.520225524902344,0.3140499889850616,6.154244899749756,1.7876204252243042,10.649340629577637,0.9983668327331544,-9.402441024780272,-1.0537909269332886,-12.173614501953123,20.763675689697266,0.0052642747759819,-0.0130705423653125,0.0223575886338949,3.125,2.304147720336914,0.2199999988079071,0.1676902025938034,0.1599999964237213,0.1027942895889282,-40.3502197265625,True
1612,32.56245803833008,0.204333871603012,31.353343963623047,34.646759033203125,37.02717208862305,5.673828125,39.84018707275391,22.518604278564453,635.0562133789062,1014.02685546875,0.308789849281311,0.9389766454696656,0.050799548625946,0.1969607025384903,0.5959965586662292,0.5451970100402832,3.6312992572784415,1.6164581775665283,4.23124361038208,2.1000075340271,0.107851430773735,1.188230037689209,19.10368156433105,0.8859329223632812,5.926814079284668,2.125783443450928,7.369215965270996,1.7414573431015017,5.759590148925781,2.466656446456909,0.0268652904778718,2.399358034133911,1.0400506258010864,1.1448781490325928,8.04410171508789,0.7474803924560547,6.268388271331787,3.7522826194763184,20.77931404113769,1.198645830154419,666.2096557617188,0.2495102435350418,1344.5263671875,0.1991076320409774,-116.72295379638672,-0.7730574011802673,1689.61376953125,0.169059470295906,969.0418090820312,0.4586003720760345,-117.8256607055664,-0.7229698896408081,2683.5439453125,0.1100170686841011,812.4057006835938,0.3303390443325043,-120.67586517333984,-0.679955005645752,-16.546175003051758,-0.5488587617874146,24.873950958251957,0.3995619714260101,0.071036085486412,0.6993587017059326,-0.0241079051047563,-0.6266865730285645,0.1784875392913818,0.7324120402336121,31.8475284576416,0.4403530061244964,4.293129920959473,3.252976894378662,4.802156925201416,3.2936348915100098,3.8207972049713135,4.576131820678711,-7.241427421569824,13.79128074645996,-0.010072442702949,-0.0077602691017091,0.0470744594931602,2.866779088973999,2.3809525966644287,0.1842857152223587,0.0952975898981094,0.1979999840259552,0.2829416692256927,-36.65768051147461,False
1613,36.14117431640625,0.1341974586248397,35.35322189331055,36.82007598876953,38.76919937133789,3.415977478027344,328.8083801269531,442.7425537109375,174.1934356689453,527.620361328125,0.2153816968202591,1.3891829252243042,0.0297335945069789,0.0971454307436943,0.3449724912643432,0.315238893032074,5.516478061676025,4.552002429962158,5.6550798416137695,5.193048477172852,0.0838995799422264,1.74669086933136,18.001169204711914,0.8068658709526062,4.410212516784668,2.982362031936645,7.407436847686768,1.6588624715805054,1.7479822635650637,6.990762710571289,0.0336181707680225,1.6717846393585205,1.1096585988998413,0.9476957321166992,8.805145263671875,0.5766290426254272,9.212328910827637,1.401496648788452,22.103384017944336,0.5229507088661194,523.5321655273438,0.3662537336349487,1284.33984375,0.1876177340745926,-142.1751251220703,-0.6064333915710449,1558.92822265625,0.1523831188678741,933.455078125,0.3788008987903595,-129.4892578125,-0.6570475101470947,2553.529541015625,0.1020080298185348,891.3104248046875,0.4985707998275757,-131.54469299316406,-0.6255020499229431,-15.970211029052734,-0.545168936252594,25.821514129638672,0.3552558124065399,0.0870131701231002,0.4906095266342163,-0.0221285335719585,-0.5470297932624817,0.1804060339927673,1.0549343824386597,30.843021392822266,0.3623751997947693,-1.922315239906311,-7.68144941329956,6.854036331176758,2.4023454189300537,-5.969052791595459,-2.173453092575073,-8.264934539794922,16.411266326904297,0.0006066044443286,-0.0060400241054594,0.0195900164544582,1.614906907081604,1.8238341808319087,0.2086363583803177,0.1653864681720733,0.3329761922359466,0.5868697762489319,-38.21538543701172,False
1614,35.48316192626953,0.1909617483615875,31.23919486999512,37.76065444946289,39.801029205322266,8.561834335327148,140.64645385742188,110.75978088378906,102.00977325439452,80.50151824951172,0.2732191085815429,1.2558972835540771,0.0404089540243148,0.1044206321239471,0.48586106300354,0.4454520940780639,4.879587173461914,2.512523651123047,5.968446254730225,4.891473770141602,0.1253132671117782,1.6793557405471802,17.99568748474121,0.6959491968154907,6.892918586730957,1.564799666404724,0.7963131070137024,17.063236236572266,-0.9093618988990784,-10.820003509521484,0.0329481475055217,2.0189027786254883,0.9261658191680908,0.9898900985717772,8.339388847351074,0.7635729312896729,6.467040061950684,1.5240272283554075,28.103647232055664,0.4375680685043335,731.9862670898438,0.1908300369977951,1201.4754638671875,0.1868428885936737,-138.6991424560547,-0.6245298981666565,1739.0899658203125,0.1089023053646087,912.2572631835938,0.4047560691833496,-142.29446411132812,-0.5626200437545776,2721.047119140625,0.0730910897254943,715.4880981445312,0.4226172566413879,-144.8708038330078,-0.5271442532539368,-17.8616886138916,-0.4305338561534881,26.97196578979492,0.3221795558929443,0.0776902064681053,0.645361602306366,-0.0343210399150848,-0.4208565354347229,0.3066520690917969,0.8980913162231445,29.92660522460937,0.339644581079483,4.913478374481201,2.594698429107666,-10.47696304321289,-1.6199302673339844,-6.840205669403076,-1.6661471128463743,-10.094833374023438,16.86536407470703,-0.0024261870421469,-0.0132772605866193,0.0351711101830005,2.0594966411590576,1.9562716484069824,0.1564705818891525,0.1145806312561035,0.2952631413936615,0.3849588632583618,-34.675384521484375,False
